,index,IV,RF,Chi_Square,FE,final_score
0,Collishop_customer_Y,1,0,1,0,2
7,HOUSEHOLDTYPOLOGY_g_HHnochild_55_plus,0,0,1,0,1
12,SOW_colr,0,0,0,1,1
22,SOW_type_colr_SOW_100+,0,0,1,0,1
23,SOW_type_colr_UNKNOWN,0,0,1,0,1
25,cat_AP_STDR_WhiskyONLINE,0,0,0,1,1
26,cat_Babyluiers,0,0,0,1,1
28,cat_Ber_Ger_VersMaaltijdsalades,0,0,0,1,1
29,cat_Bier_Genietbieren,0,0,0,1,1
32,cat_BroodKorthoudbaar,0,0,0,1,1
33,cat_Chips,0,0,0,1,1
37,cat_Houtpelletskolen_briketten,0,0,0,1,1
39,cat_KaasSeizoenskazen,0,0,0,1,1
40,cat_Kauwgum,0,0,0,1,1
41,cat_KoudeSauzen,0,0,0,1,1
44,cat_Ontbijtgranen_Volwassenen,0,0,0,1,1
51,cat_VNCBerBurgers,0,0,0,1,1
59,cat_VNCWildSteak,0,0,0,1,1
60,cat_VerseKaasFruitkazen,0,0,0,1,1
63,cat_Wijn_Stillewijnen_RAYON,1,1,0,1,3
70,price_sens_colr_format,0,1,0,0,1
71,prod_ticket,0,0,0,1,1
72,rev_ticket,1,1,0,1,3
73,total_discount_format,1,1,0,1,3
74,total_revenue,1,1,1,1,4
