masked_customer_id,highbrow_wines_prediction,prediction_probability
339793,0,0.025
339806,0,0.119
339807,1,0.910
339809,0,0.119
339812,0,0.025
339815,0,0.025
339820,0,0.025
339824,0,0.025
339834,1,0.910
339837,0,0.025
339848,0,0.025
339864,0,0.119
339866,0,0.025
339915,0,0.025
339924,0,0.025
339946,0,0.025
339960,0,0.025
339987,0,0.025
340006,0,0.025
340010,0,0.025
340020,0,0.025
340024,0,0.025
340044,0,0.025
340046,0,0.025
340050,0,0.119
340052,1,0.910
340059,0,0.025
340067,1,0.910
340083,0,0.025
340084,0,0.025
340088,0,0.025
340116,0,0.025
340120,0,0.025
340128,0,0.119
340148,0,0.025
340156,0,0.025
340189,1,0.982
340202,0,0.025
340250,1,0.910
340268,0,0.119
340280,0,0.025
340281,0,0.025
340290,0,0.025
340292,0,0.025
340298,0,0.025
340310,0,0.025
340321,0,0.025
340327,0,0.025
340330,0,0.025
340367,1,0.910
340370,0,0.025
340384,0,0.025
340431,0,0.025
340451,0,0.025
340467,0,0.119
340573,0,0.025
340585,0,0.025
340586,0,0.025
340611,0,0.025
340643,0,0.025
340651,1,0.910
340654,0,0.025
340664,0,0.025
340704,0,0.025
340727,0,0.025
340735,1,0.910
340768,0,0.025
340799,0,0.025
340806,0,0.025
340812,0,0.025
340877,0,0.025
340896,0,0.025
340922,0,0.025
340948,0,0.025
340958,0,0.025
340964,0,0.025
340979,0,0.119
341052,0,0.119
341069,0,0.025
341109,1,0.910
341119,0,0.025
341122,0,0.025
341154,0,0.025
341157,0,0.025
341158,0,0.025
341169,0,0.025
341187,0,0.025
341192,0,0.025
341204,1,0.982
341205,0,0.025
341215,0,0.025
341243,1,0.910
341262,1,0.910
341265,0,0.025
341267,0,0.025
341271,0,0.025
341277,0,0.025
341285,0,0.025
341286,1,0.910
341313,1,0.910
341327,0,0.025
341356,0,0.025
341362,0,0.025
341388,0,0.025
341389,0,0.025
341405,0,0.025
341413,0,0.025
341422,0,0.025
341431,0,0.119
341439,0,0.025
341440,0,0.025
341443,0,0.025
341452,0,0.025
341468,0,0.025
341469,0,0.119
341479,1,0.910
341486,0,0.025
341516,0,0.025
341540,0,0.025
341572,0,0.025
341585,0,0.119
341586,0,0.025
341642,0,0.025
341645,0,0.025
341662,0,0.025
341668,0,0.025
341702,0,0.025
341714,0,0.025
341773,1,0.910
341796,0,0.025
341807,1,0.910
341851,0,0.025
341875,0,0.025
341992,0,0.025
342003,0,0.119
342032,0,0.025
342067,0,0.025
342074,0,0.025
342095,0,0.025
342106,0,0.025
342109,1,0.910
342112,0,0.025
342114,0,0.025
342130,0,0.025
342131,0,0.025
342152,0,0.025
342198,0,0.025
342247,0,0.025
342248,0,0.025
342249,0,0.025
342256,0,0.025
342273,0,0.025
342281,0,0.025
342282,0,0.119
342372,0,0.025
342383,0,0.025
342392,0,0.025
342414,0,0.025
342420,0,0.025
342424,0,0.025
342428,0,0.025
342464,0,0.025
342470,0,0.025
342495,0,0.025
342520,0,0.025
342576,0,0.025
342639,0,0.025
342644,0,0.025
342683,0,0.025
342688,0,0.025
342707,0,0.025
342724,0,0.025
342729,0,0.025
342747,0,0.025
342763,0,0.119
342787,0,0.025
342790,0,0.025
342828,0,0.025
