masked_customer_id,highbrow_wines_prediction,prediction_probability
339793,0,0.008
339806,0,0.000
339807,0,0.341
339809,0,0.021
339812,0,0.002
339815,0,0.184
339820,0,0.000
339824,0,0.120
339834,0,0.224
339837,0,0.054
339848,0,0.127
339864,0,0.016
339866,1,0.789
339915,0,0.001
339924,0,0.000
339946,0,0.009
339960,0,0.047
339987,0,0.011
340006,1,0.570
340010,0,0.001
340020,0,0.004
340024,0,0.001
340044,0,0.459
340046,0,0.000
340050,0,0.061
340052,0,0.245
340059,0,0.064
340067,1,0.941
340083,0,0.000
340084,0,0.004
340088,0,0.006
340116,0,0.039
340120,0,0.154
340128,0,0.053
340148,0,0.320
340156,0,0.001
340189,1,0.676
340202,0,0.001
340250,0,0.074
340268,0,0.000
340280,0,0.013
340281,0,0.010
340290,0,0.145
340292,0,0.002
340298,0,0.016
340310,0,0.165
340321,0,0.000
340327,0,0.001
340330,0,0.031
340367,0,0.166
340370,0,0.103
340384,0,0.003
340431,0,0.010
340451,0,0.001
340467,0,0.001
340573,0,0.005
340585,0,0.000
340586,0,0.011
340611,0,0.009
340643,0,0.036
340651,0,0.154
340654,0,0.000
340664,0,0.315
340704,0,0.002
340727,0,0.001
340735,1,0.945
340768,0,0.004
340799,0,0.000
340806,0,0.001
340812,0,0.008
340877,0,0.103
340896,0,0.001
340922,0,0.000
340948,0,0.003
340958,0,0.000
340964,0,0.061
340979,0,0.021
341052,0,0.079
341069,0,0.002
341109,0,0.485
341119,0,0.057
341122,1,0.597
341154,0,0.002
341157,0,0.006
341158,0,0.000
341169,0,0.008
341187,0,0.010
341192,0,0.001
341204,1,0.836
341205,0,0.001
341215,0,0.000
341243,0,0.324
341262,1,0.915
341265,0,0.003
341267,0,0.019
341271,0,0.025
341277,0,0.000
341285,0,0.005
341286,1,0.791
341313,0,0.088
341327,0,0.047
341356,0,0.000
341362,0,0.008
341388,0,0.038
341389,0,0.060
341405,0,0.016
341413,0,0.233
341422,0,0.317
341431,0,0.060
341439,0,0.000
341440,0,0.007
341443,0,0.006
341452,0,0.008
341468,0,0.461
341469,0,0.282
341479,0,0.158
341486,0,0.006
341516,0,0.000
341540,0,0.055
341572,0,0.002
341585,0,0.008
341586,0,0.016
341642,0,0.002
341645,0,0.211
341662,0,0.001
341668,0,0.012
341702,0,0.004
341714,0,0.003
341773,1,0.925
341796,0,0.000
341807,1,0.899
341851,0,0.053
341875,0,0.001
341992,0,0.000
342003,0,0.029
342032,0,0.006
342067,0,0.004
342074,0,0.001
342095,0,0.003
342106,0,0.001
342109,1,0.834
342112,0,0.015
342114,0,0.015
342130,0,0.000
342131,0,0.000
342152,0,0.002
342198,0,0.004
342247,0,0.178
342248,0,0.000
342249,0,0.000
342256,0,0.001
342273,0,0.021
342281,0,0.020
342282,0,0.028
342372,0,0.022
342383,0,0.001
342392,0,0.106
342414,0,0.006
342420,0,0.001
342424,0,0.001
342428,0,0.006
342464,0,0.009
342470,0,0.008
342495,0,0.002
342520,0,0.002
342576,0,0.000
342639,0,0.006
342644,0,0.033
342683,0,0.019
342688,0,0.079
342707,0,0.000
342724,0,0.001
342729,0,0.192
342747,0,0.121
342763,0,0.433
342787,0,0.208
342790,0,0.074
342828,1,0.722
342839,0,0.002
342844,0,0.281
342858,0,0.000
342861,0,0.000
342898,0,0.002
342913,1,0.959
342922,1,0.663
342961,0,0.009
342970,0,0.363
342976,1,0.720
342995,0,0.024
343013,0,0.000
343036,0,0.001
343085,0,0.000
343119,0,0.063
343120,0,0.031
343127,0,0.003
343140,0,0.320
343148,0,0.009
343161,0,0.002
343175,0,0.000
343187,0,0.002
343193,0,0.004
343198,1,0.994
343218,0,0.017
343224,0,0.005
343241,0,0.029
343280,0,0.000
343284,0,0.000
343293,0,0.000
343326,0,0.015
343342,0,0.151
343344,0,0.135
343396,0,0.019
343418,0,0.000
343445,0,0.078
343450,0,0.149
343451,0,0.001
343469,0,0.042
343471,0,0.013
343484,1,0.823
343497,0,0.077
343498,0,0.010
343505,0,0.000
343511,0,0.021
343514,0,0.003
343526,0,0.001
343527,0,0.016
343538,0,0.000
343546,0,0.347
343575,0,0.000
343599,0,0.003
343627,1,0.718
343641,0,0.000
343650,0,0.016
343673,0,0.083
343699,0,0.014
343703,0,0.012
343726,0,0.483
343731,0,0.000
343755,0,0.162
343765,1,0.946
343809,0,0.000
343824,0,0.002
343825,0,0.001
343832,0,0.001
343847,0,0.002
343849,0,0.000
343851,0,0.000
343859,0,0.000
343862,1,0.546
343872,0,0.000
343902,0,0.013
343903,0,0.003
343909,0,0.000
343911,0,0.233
343915,1,0.967
343935,0,0.085
343943,0,0.001
343945,0,0.001
343947,0,0.168
343951,0,0.111
343994,0,0.000
343997,0,0.000
344017,0,0.059
344028,0,0.000
344059,0,0.000
344076,0,0.028
344092,0,0.004
344100,0,0.001
344101,0,0.039
344108,0,0.001
344152,0,0.001
344159,0,0.037
344161,0,0.037
344166,0,0.000
344204,0,0.056
344229,0,0.003
344264,0,0.003
344266,0,0.080
344280,0,0.000
344284,0,0.065
344290,0,0.451
344297,0,0.001
344300,0,0.030
344318,0,0.003
344325,0,0.000
344342,0,0.018
344348,0,0.021
344357,0,0.204
344408,0,0.002
344423,0,0.005
344461,0,0.157
344473,0,0.002
344490,0,0.006
344492,0,0.027
344549,0,0.006
344579,0,0.027
344602,0,0.000
344621,0,0.013
344661,0,0.117
344664,0,0.289
344670,1,0.885
344684,0,0.005
344699,0,0.000
344731,0,0.221
344753,0,0.000
344764,0,0.052
344779,0,0.083
344795,1,0.523
344821,0,0.052
344847,0,0.006
344854,0,0.082
344875,0,0.008
344883,0,0.254
344889,0,0.000
344897,0,0.003
344933,0,0.040
344935,0,0.000
344938,0,0.001
344952,0,0.003
344957,0,0.015
345012,0,0.001
345068,0,0.022
345072,0,0.086
345077,0,0.007
345079,0,0.004
345084,0,0.003
345090,1,0.942
345094,0,0.152
345097,0,0.005
345120,0,0.024
345144,0,0.002
345201,0,0.149
345206,0,0.001
345212,0,0.040
345222,0,0.001
345223,0,0.003
345249,0,0.000
345257,0,0.003
345292,0,0.004
345309,0,0.000
345318,0,0.347
345345,0,0.000
345347,0,0.000
345354,0,0.021
345375,0,0.004
345376,0,0.025
345380,0,0.002
345388,0,0.000
345401,0,0.001
345411,0,0.000
345425,1,0.909
345505,0,0.017
345509,0,0.001
345570,0,0.001
345574,0,0.004
345580,0,0.001
345600,0,0.001
345610,1,0.719
345633,0,0.422
345649,0,0.000
345675,0,0.000
345724,0,0.018
345747,0,0.002
345756,0,0.000
345761,0,0.419
345775,0,0.084
345793,0,0.112
345810,0,0.104
345852,0,0.003
345890,0,0.067
345935,0,0.005
345936,0,0.377
345964,0,0.021
345984,0,0.011
345988,0,0.000
345991,1,0.502
346008,0,0.307
346067,0,0.015
346082,0,0.001
346113,0,0.069
346119,0,0.038
346121,0,0.053
346156,0,0.000
346161,0,0.053
346190,0,0.000
346195,0,0.000
346197,0,0.065
346233,1,0.957
346239,0,0.000
346257,0,0.000
346261,0,0.011
346268,0,0.014
346320,0,0.000
346343,1,0.760
346415,0,0.001
346421,0,0.095
346428,0,0.019
346466,0,0.000
346492,0,0.004
346521,1,0.515
346529,0,0.088
346544,0,0.031
346545,0,0.011
346548,0,0.001
346585,0,0.004
346594,0,0.004
346603,0,0.116
346605,0,0.044
346621,0,0.024
346622,0,0.013
346635,0,0.062
346647,0,0.000
346650,0,0.016
346662,0,0.000
346666,0,0.007
346698,0,0.325
346724,0,0.018
346783,0,0.047
346794,0,0.009
346796,0,0.185
346831,0,0.013
346903,0,0.057
346922,0,0.004
346932,0,0.008
346945,1,0.713
346955,0,0.001
346998,0,0.003
347004,0,0.006
347039,0,0.003
347047,0,0.001
347051,0,0.002
347058,0,0.071
347070,0,0.011
347090,0,0.001
347104,0,0.283
347105,0,0.000
347106,0,0.002
347114,0,0.003
347120,0,0.007
347134,0,0.004
347141,0,0.000
347165,0,0.009
347178,0,0.001
347179,0,0.020
347210,0,0.097
347216,0,0.017
347246,0,0.004
347251,0,0.001
347264,0,0.003
347280,0,0.001
347284,0,0.446
347317,0,0.029
347329,0,0.011
347346,0,0.046
347417,0,0.000
347430,1,0.620
347464,0,0.000
347487,0,0.000
347489,0,0.028
347495,0,0.065
347510,1,0.919
347631,1,0.962
347649,0,0.027
347683,1,0.769
347687,0,0.001
347690,0,0.206
347805,0,0.024
347808,0,0.021
347829,1,0.985
347833,0,0.000
347927,0,0.006
347947,0,0.000
347949,0,0.001
347972,0,0.041
348021,0,0.007
348050,0,0.001
348063,0,0.008
348065,0,0.008
348076,0,0.017
348097,0,0.011
348108,0,0.007
348114,0,0.006
348131,0,0.001
348173,0,0.014
348189,0,0.000
348199,0,0.000
348208,0,0.004
348229,0,0.027
348239,0,0.002
348254,0,0.010
348278,0,0.001
348279,0,0.067
348325,1,0.960
348339,1,0.865
348341,0,0.025
348381,0,0.004
348393,0,0.000
348414,0,0.000
348436,0,0.019
348444,0,0.017
348471,0,0.287
348472,1,0.809
348478,0,0.000
348487,0,0.061
348514,0,0.045
348515,0,0.097
348519,0,0.002
348530,0,0.001
348534,0,0.002
348548,0,0.002
348571,1,0.685
348594,0,0.004
348605,0,0.010
348607,0,0.007
348621,0,0.000
348622,1,0.690
348625,0,0.054
348642,0,0.000
348661,0,0.008
348669,0,0.281
348678,0,0.133
348679,0,0.001
348690,1,0.696
348722,0,0.002
348723,0,0.004
348774,1,0.797
348791,0,0.008
348801,0,0.009
348805,0,0.013
348847,0,0.012
348855,0,0.003
348868,0,0.000
348872,0,0.005
348900,0,0.005
348903,0,0.014
348913,0,0.355
348924,0,0.004
348956,0,0.008
348979,0,0.000
348990,0,0.003
348994,1,0.850
349007,0,0.000
349016,0,0.006
349036,0,0.000
349040,0,0.233
349048,0,0.023
349053,0,0.000
349056,0,0.192
349079,0,0.037
349088,0,0.000
349103,0,0.374
349118,0,0.100
349125,0,0.006
349131,0,0.002
349146,1,0.829
349172,0,0.016
349205,0,0.012
349210,0,0.001
349212,0,0.212
349213,0,0.041
349216,0,0.019
349226,0,0.049
349235,0,0.223
349301,0,0.000
349308,0,0.360
349309,0,0.129
349318,0,0.075
349371,1,0.992
349384,0,0.003
349388,1,0.502
349427,0,0.091
349448,0,0.009
349456,0,0.004
349457,1,0.901
349460,0,0.135
349492,0,0.013
349506,0,0.223
349509,0,0.161
349516,0,0.006
349521,0,0.001
349559,0,0.014
349606,0,0.000
349624,0,0.013
349633,0,0.003
349682,0,0.003
349705,0,0.008
349719,0,0.018
349725,0,0.027
349728,0,0.337
349791,0,0.043
349830,0,0.004
349857,0,0.078
349859,0,0.131
349903,0,0.001
349914,0,0.024
349940,0,0.489
349962,0,0.013
349968,0,0.265
349982,0,0.012
350012,0,0.008
350101,0,0.007
350105,0,0.006
350115,0,0.000
350116,0,0.003
350125,0,0.424
350129,0,0.013
350138,0,0.070
350156,0,0.004
350186,0,0.000
350188,0,0.083
350201,0,0.022
350212,0,0.027
350225,0,0.027
350267,0,0.000
350271,0,0.363
350350,0,0.297
350387,0,0.014
350401,0,0.038
350410,0,0.059
350434,0,0.013
350445,0,0.042
350448,0,0.294
350459,0,0.007
350479,0,0.001
350505,0,0.193
350513,0,0.019
350536,0,0.003
350543,0,0.000
350546,0,0.003
350572,0,0.008
350580,0,0.045
350583,0,0.000
350597,0,0.016
350598,0,0.036
350627,0,0.002
350628,0,0.003
350634,0,0.000
350656,0,0.383
350692,0,0.403
350706,0,0.080
350715,0,0.002
350739,1,0.632
350747,0,0.009
350793,1,0.567
350807,0,0.001
350843,0,0.004
350857,0,0.011
350933,0,0.001
350955,0,0.145
350969,0,0.017
351279,0,0.041
351302,0,0.295
351355,1,0.996
351373,0,0.001
351398,0,0.060
351409,0,0.006
351411,0,0.024
351418,0,0.003
351464,0,0.000
351518,0,0.048
351535,0,0.006
351586,0,0.001
351646,0,0.001
351649,0,0.278
351655,1,0.638
351665,0,0.007
351695,0,0.000
351729,0,0.119
351742,0,0.106
351750,0,0.284
351761,0,0.043
351813,0,0.344
351828,0,0.000
351829,0,0.034
351833,0,0.004
351836,0,0.004
351844,0,0.003
351845,0,0.014
351869,0,0.006
351875,0,0.003
351882,0,0.003
351919,0,0.000
351927,0,0.012
351940,0,0.000
351969,0,0.000
351980,0,0.012
352005,0,0.116
352014,0,0.001
352024,1,0.977
352054,0,0.050
352066,0,0.002
352070,0,0.039
352080,0,0.003
352086,1,0.950
352120,0,0.282
352123,0,0.042
352127,0,0.005
352133,0,0.004
352143,0,0.000
352188,0,0.042
352196,1,0.519
352221,0,0.005
352239,0,0.001
352273,0,0.006
352311,0,0.006
352371,0,0.001
352373,0,0.053
352392,0,0.000
352398,0,0.001
352425,0,0.000
352448,0,0.000
352463,0,0.018
352485,0,0.003
352509,0,0.006
352513,0,0.001
352554,0,0.109
352632,0,0.352
352642,0,0.163
352647,0,0.155
352653,0,0.041
352693,0,0.008
352698,0,0.002
352709,0,0.097
352721,0,0.000
352769,0,0.009
352826,0,0.000
352837,1,0.743
